trace,l1p,l2p,repl,inc,metric,value
dataCaching,no,no,lru,NON,ipc,0.399022
dataCaching,no,no,lru,NON,cycles,2506125343
dataCaching,no,no,lru,NON,l1_evict,11378364
dataCaching,no,no,lru,NON,l2_evict,5453085
dataCaching,no,no,lru,NON,l3_evict,1393751
dataCaching,no,no,lru,NON,llc_mpki,1.39375
dataCaching,no,no,lru,NON,l1_evict_inc,0
dataCaching,no,no,lru,NON,l2_evict_inc,0
dataCaching,no,no,lru,EXC,ipc,0.400406
dataCaching,no,no,lru,EXC,cycles,2497466329
dataCaching,no,no,lru,EXC,l1_evict,11378397
dataCaching,no,no,lru,EXC,l2_evict,5459323
dataCaching,no,no,lru,EXC,l3_evict,2755667
dataCaching,no,no,lru,EXC,llc_mpki,6.54063
dataCaching,no,no,lru,EXC,l1_evict_inc,0
dataCaching,no,no,lru,EXC,l2_evict_inc,0
dataCaching,no,no,eaf,NON,ipc,0.406108
dataCaching,no,no,eaf,NON,cycles,2462399862
dataCaching,no,no,eaf,NON,l1_evict,11363760
dataCaching,no,no,eaf,NON,l2_evict,5469421
dataCaching,no,no,eaf,NON,l3_evict,924709
dataCaching,no,no,eaf,NON,llc_mpki,0.924712
dataCaching,no,no,eaf,NON,l1_evict_inc,0
dataCaching,no,no,eaf,NON,l2_evict_inc,0
dataCaching,no,no,eaf,EXC,ipc,0.382255
dataCaching,no,no,eaf,EXC,cycles,2616056136
dataCaching,no,no,eaf,EXC,l1_evict,11363545
dataCaching,no,no,eaf,EXC,l2_evict,5474671
dataCaching,no,no,eaf,EXC,l3_evict,5058776
dataCaching,no,no,eaf,EXC,llc_mpki,7.86133
dataCaching,no,no,eaf,EXC,l1_evict_inc,0
dataCaching,no,no,eaf,EXC,l2_evict_inc,0
dataCaching,no,no,ship,NON,ipc,0.404352
dataCaching,no,no,ship,NON,cycles,2473095003
dataCaching,no,no,ship,NON,l1_evict,11369098
dataCaching,no,no,ship,NON,l2_evict,5504292
dataCaching,no,no,ship,NON,l3_evict,1001420
dataCaching,no,no,ship,NON,llc_mpki,1.00142
dataCaching,no,no,ship,NON,l1_evict_inc,0
dataCaching,no,no,ship,NON,l2_evict_inc,0
dataCaching,no,no,ship,EXC,ipc,0.382057
dataCaching,no,no,ship,EXC,cycles,2617412263
dataCaching,no,no,ship,EXC,l1_evict,11368899
dataCaching,no,no,ship,EXC,l2_evict,5507400
