trace,prefetcher,replpol,speedup
GemsFDTD,no,drrip,.997136
GemsFDTD,no,plru,.999550
GemsFDTD,no,smdpp,.996960
GemsFDTD,no,srrip,.999362
astar,no,drrip,1.008249
astar,no,plru,.999765
astar,no,smdpp,1.018322
astar,no,srrip,1.005989
bwaves,no,drrip,.994697
bwaves,no,plru,1.000098
bwaves,no,smdpp,1.002708
bwaves,no,srrip,1.000129
bzip2,no,drrip,1.011398
bzip2,no,plru,.996216
bzip2,no,smdpp,.993462
bzip2,no,srrip,1.011704
cactusADM,no,drrip,1.117984
cactusADM,no,plru,1.000019
cactusADM,no,smdpp,1.050461
cactusADM,no,srrip,.999900
data_caching,no,drrip,1.027874
data_caching,no,plru,.998509
data_caching,no,smdpp,.988233
data_caching,no,srrip,1.017415
gcc,no,drrip,1.000057
gcc,no,plru,.999890
gcc,no,smdpp,.993974
gcc,no,srrip,1.000256
graph_analytics,no,drrip,1.029367
graph_analytics,no,plru,.999667
graph_analytics,no,smdpp,1.009407
graph_analytics,no,srrip,1.011006
gromacs,no,drrip,1.001365
gromacs,no,plru,.997892
gromacs,no,smdpp,.993414
gromacs,no,srrip,1.001388
lbm,no,drrip,.997480
lbm,no,plru,.999982
lbm,no,smdpp,.998655
lbm,no,srrip,.999908
leslie3d,no,drrip,1.005820
leslie3d,no,plru,.998089
leslie3d,no,smdpp,1.006379
leslie3d,no,srrip,1.005996
libquantum,no,drrip,.964780
libquantum,no,plru,.995931
libquantum,no,smdpp,1.032185
libquantum,no,srrip,1.000000
mcf,no,drrip,1.151465
mcf,no,plru,.998024
mcf,no,smdpp,1.041129
mcf,no,srrip,1.031065
milc,no,drrip,.975557
milc,no,plru,1.000012
milc,no,smdpp,1.002778
milc,no,srrip,.999348
mlpack_cf,no,drrip,1.429684
mlpack_cf,no,plru,1.004349
mlpack_cf,no,smdpp,1.139430
mlpack_cf,no,srrip,1.299484
omnetpp,no,drrip,1.004136
omnetpp,no,plru,.997319
omnetpp,no,smdpp,.954781
omnetpp,no,srrip,1.002837
sat_solver,no,drrip,1.004809
sat_solver,no,plru,.999522
sat_solver,no,smdpp,.985160
sat_solver,no,srrip,1.005365
soplex,no,drrip,1.062768
soplex,no,plru,.996670
soplex,no,smdpp,.995687
soplex,no,srrip,1.013537
sphinx3,no,drrip,1.311454
sphinx3,no,plru,1.005169
sphinx3,no,smdpp,1.143378
sphinx3,no,srrip,1.107404
wrf,no,drrip,1.001634
wrf,no,plru,.999385
wrf,no,smdpp,1.011866
wrf,no,srrip,.997010
xalancbmk,no,drrip,1.106139
xalancbmk,no,plru,1.000293
xalancbmk,no,smdpp,1.065484
xalancbmk,no,srrip,1.006339
zeusmp,no,drrip,.989191
zeusmp,no,plru,.998070
zeusmp,no,smdpp,.981534
zeusmp,no,srrip,.988584
